Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000499999999999973,0,-4.44089209850063E-16,0,0,0,5.02654824574367E-05,4.02123859659494E-10,-5.68086652660395E-26,-7.06335332977124E-26,2.05250720034533E-10,1.93870456067116E-26,2.05250720034533E-10,0,0,0,0,0,0,package://larva54/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/base_link.STL,,base-1,OG,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rsec11,0.0150000000000001,-0.0272479653741931,4.44089209850063E-16,0,0,0,0.00814247932954212,2.58090802782193E-06,-3.71116898050847E-21,-6.24497133474091E-22,9.04351126416434E-07,1.02702744854584E-20,3.27245109843997E-06,0,0,0,0,0,0,package://larva54/meshes/rsec11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/rsec11.STL,,TL_joint_1mm_scaled-1;VL_1mm_scaled-1,CSR1,AR1,rjoint11,revolute,-0.031,0,0,0,0,0,base_link,1,0,0,100,100,-3.14,3.14,,,,,,,,
psec11,5.82867087928207E-16,-0.0444356741319128,-4.44089209850063E-16,0,0,0,0.00950290648044837,2.06910554500492E-06,1.61044855384348E-21,1.6362477167982E-24,6.3101540452144E-07,2.96461531539005E-21,2.62322222113119E-06,0,0,0,0,0,0,package://larva54/meshes/psec11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/psec11.STL,,VL_move_1mm_scaled-1,CSP1,AP1,pjoint11,prismatic,0.0150000000000004,-0.00800000000000095,0,0,0,0,rsec11,0,-1,0,100,100,-0.01,0.01,,,,,,,,
rsec12,0.0149999999999993,-0.00521814457836545,-0.0282191168584589,0,0,0,0.00900245720098014,3.53141255495156E-06,-1.21392399109586E-21,-2.01856962146286E-21,4.16190674038217E-06,-5.89210772270563E-07,1.08447769952084E-06,0,0,0,0,0,0,package://larva54/meshes/rsec12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/rsec12.STL,,TL_joint_1mm_scaled-3;L_1mm_scaled-1,CSR2,AR2,rjoint12,revolute,-0.0149999999999997,-0.0720000000000022,0,0,0,0,psec11,1,0,0,100,100,-3.14,3.14,,,,,,,,
psec12,-4.71844785465692E-16,0.0516602747419426,5.39568389967826E-14,0,0,0,0.0113929064804486,3.53005448855795E-06,-1.63493131559331E-21,7.98891199277559E-23,7.53550404521461E-07,1.03232140446618E-21,4.19127116468423E-06,0,0,0,0,0,0,package://larva54/meshes/psec12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/psec12.STL,,L_move_1mm_scaled-1,CSP2,AP2,pjoint12,prismatic,0.0149999999999999,-0.00145466083047219,-0.00786663599439352,-1.75364613025644,0,0,rsec12,0,1,0,100,100,-0.01,0.01,,,,,,,,
rsec13,0.015057761130921,0.030463230470914,0.0140445297245235,0,0,0,0.0101124572009805,5.21578447023896E-06,1.42780672513027E-08,6.58264855104289E-09,1.96895737588561E-06,-1.88022704105014E-06,5.18041106258412E-06,0,0,0,0,0,0,package://larva54/meshes/rsec13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/rsec13.STL,,TL_joint_1mm_scaled-4;VO_1mm_scaled-1,CSR3,AR3,rjoint13,revolute,-0.0154623180616895,0.0842320000000001,0,1.75364613025644,0,0,psec12,1,0,0,100,100,-3.14,3.14,,,,,,,,
psec13,8.32667268468867E-17,0.0634854251616015,1.68753899743024E-14,0,0,0,0.0123379064804484,4.46823934651093E-06,-9.88411408572198E-22,1.03309533318994E-22,8.14817904521441E-07,8.62914815015318E-21,5.1830060226372E-06,0,0,0,0,0,0,package://larva54/meshes/psec13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/psec13.STL,,VO_move_1mm_scaled-1,CSP3,AP3,pjoint13,prismatic,0.0154623180616888,0.00726507392751519,0.00334943291136325,0.431990326238117,0,0,rsec13,0,1,0,100,100,-0.01,0.01,,,,,,,,
rsec14,0.015,4.44089209850063E-16,-0.0157184703636566,0,0,0,0.0137603858099909,2.33230347484184E-06,-5.5595583082376E-22,9.95418394399463E-22,3.25281322158617E-06,-2.17052192733914E-21,1.08923903093791E-06,0,0,0,0,0,0,package://larva54/meshes/rsec14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/rsec14.STL,,TL_joint_1mm_scaled-2;VV_1mm_scaled-1;FrontLeg_Join_1mm_scaled-1,CSR4,AR4,rjoint14,revolute,-0.015,0.0985599999999993,0,-0.431990326238117,0,0,psec13,1,0,0,100,100,-3.14,3.14,,,,,,,,
psec14,-1.66533453693773E-16,0.0218035208950598,-2.22044604925031E-16,0,0,0,0.00694913649691772,5.77071801345558E-07,-5.29859473379937E-22,-2.75929745882599E-22,4.75978173293698E-07,-5.29395592033938E-22,1.00011721116997E-06,0,0,0,0,0,0,package://larva54/meshes/psec14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/psec14.STL,,VV_move_1mm_scaled-1;TL_joint_1mm_scaled-1,CSP4,AP4,pjoint14,prismatic,0.0150000000000003,0,0.00799999999999912,1.5707963267949,0,0,rsec14,0,1,0,100,100,-0.01,0.01,,,,,,,,
rsec21,0.0149999999999993,-0.0272479653741917,-4.44089209850063E-16,0,0,0,0.0081424793295423,2.58090802782197E-06,-4.06460921165278E-21,-8.36274219475207E-22,9.04351126416445E-07,2.43521972335611E-21,3.27245109844002E-06,0,0,0,0,0,0,package://larva54/meshes/rsec21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/rsec21.STL,,unit2-1/VL_1mm_scaled-1;TL_joint_1mm_scaled-3,CSR2,AR2,rjoint21,revolute,0,0,0,0,0,0,rsec12,1,0,0,100,100,-3.14,3.14,,,,,,,,
psec21,-1.38777878078145E-16,-0.0444356741319121,-8.88178419700125E-16,0,0,0,0.00950290648044836,2.06910554500492E-06,-1.11624648795648E-21,4.00861393654419E-23,6.31015404521439E-07,3.78517848304265E-21,2.62322222113118E-06,0,0,0,0,0,0,package://larva54/meshes/psec21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/psec21.STL,,unit2-1/VL_move_1mm_scaled-1,CSP21,AP21,pjoint21,prismatic,0.015,-0.008,0,0,0,0,rsec21,0,-1,0,100,100,-0.01,0.01,,,,,,,,
rsec22,0.0149999999999998,-0.00521814457841319,-0.0282191168584514,0,0,0,0.00900245720098042,3.53141255495168E-06,-5.12518169075502E-22,-9.17758538051067E-21,4.16190674038227E-06,-5.8921077227065E-07,1.0844776995209E-06,0,0,0,0,0,0,package://larva54/meshes/rsec22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/rsec22.STL,,unit2-1/TL_joint_1mm_scaled-3;unit2-1/L_1mm_scaled-1,CSR22,AR22,rjoint22,revolute,-0.015,-0.072,0,0,0,0,psec21,1,0,0,100,100,-3.14,3.14,,,,,,,,
psec22,-5.55111512312578E-17,0.051660274741943,2.22044604925031E-16,0,0,0,0.0113929064804486,3.53005448855797E-06,1.49595520965315E-21,-1.42023912026461E-21,7.53550404521458E-07,3.04402465419514E-21,4.19127116468425E-06,0,0,0,0,0,0,package://larva54/meshes/psec22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/psec22.STL,,unit2-1/L_move_1mm_scaled-1,CSP22,AP22,pjoint22,prismatic,0.015,-0.0014547,-0.0078666,-1.7536,0,0,rsec22,0,1,0,100,100,-0.01,0.01,,,,,,,,
rsec23,0.0150577611309209,0.030463230470942,0.0140445297245173,0,0,0,0.0101124572009803,5.21578447023891E-06,1.42780672512999E-08,6.58264855104004E-09,1.96895737588558E-06,-1.88022704105012E-06,5.18041106258406E-06,0,0,0,0,0,0,package://larva54/meshes/rsec23.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/rsec23.STL,,unit2-1/TL_joint_1mm_scaled-4;unit2-1/VO_1mm_scaled-1,CSR23,AR23,rjoint23,revolute,-0.015462,0.084232,0,1.7536,0,0,psec22,1,0,0,100,100,-3.14,3.14,,,,,,,,
psec23,-8.32667268468867E-17,0.0634854251616257,-1.77635683940025E-15,0,0,0,0.0123379064804484,4.46823934651092E-06,-9.17962467694886E-22,-2.8203589353287E-21,8.14817904521439E-07,2.38228016415272E-21,5.18300602263718E-06,0,0,0,0,0,0,package://larva54/meshes/psec23.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/psec23.STL,,unit2-1/VO_move_1mm_scaled-1,CSP23,AP23,pjoint23,prismatic,0.015462,0.0072651,0.0033494,0.43199,0,0,rsec23,0,1,0,100,100,-0.01,0.01,,,,,,,,
rsec24,0.0149999999999998,1.77635683940025E-15,0.010722070699781,0,0,0,0.00425747932954244,2.63197929836907E-07,5.22756796039758E-22,1.18829818982038E-21,6.29591000454958E-07,1.05879118406788E-21,4.58223626416461E-07,0,0,0,0,0,0,package://larva54/meshes/rsec24.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/rsec24.STL,,unit2-1/TL_joint_1mm_scaled-2;unit2-1/VV_1mm_scaled-1,CSR24,AR24,rjoint24,revolute,-0.015,0.09856,0,-0.43199,0,0,psec23,1,0,0,100,100,-3.14,3.14,,,,,,,,
psec24,2.77555756156289E-17,-0.0218035208950567,-2.22044604925031E-16,0,0,0,0.00694913649691771,5.77071801345557E-07,-3.24751036015422E-22,-2.81407102715262E-22,4.75978173293697E-07,2.38228016415272E-22,1.00011721116997E-06,0,0,0,0,0,0,package://larva54/meshes/psec24.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/psec24.STL,,unit2-1/VV_move_1mm_scaled-1;TL_joint_1mm_scaled-3,CSP24,AP24,pjoint24,prismatic,0.015,0,0.008,-1.5708,0,3.1416,rsec24,0,-1,0,100,100,-0.01,0.01,,,,,,,,
link12,-0.000500000000000111,6.66133814775094E-16,-1.77635683940025E-15,0,0,0,5.02654824574367E-05,4.02123859659494E-10,-2.63932920417233E-25,4.39487528496365E-28,2.05250720034533E-10,4.52364397489938E-26,2.05250720034533E-10,0,0,0,0,0,0,package://larva54/meshes/link12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://larva54/meshes/link12.STL,,unit2-1/base-1,CSF,PG2,linkjoint12,continuous,0.031,0,0,0,0,0,rsec21,-1,0,0,100,100,-3.14,3.14,,,,,,,,
